Id,resourceId,title,language,instructors,duration,attendees,level,start,end,summary,individual_links
2b9ee3e3cd67265457a88d68feb35bcc,Track 1,"Graphing multivariate categorical data: The how, what and why of mosaic plots and alluvial diagrams",English,"Robbins, Joyce;
Janda, Ludmila",150,24,Beginner,2021-07-07T19:45:00Z,2021-07-07T22:15:00Z,"Multivariate
 categorical data present unique data visualization challenges. This 
tutorial provides two options to meet such challenges: mosaic plots and 
alluvial diagrams. First, we will focus on how to choose the best graph 
for given data types and communication goals. You will then 
learn how to get the underlying data in the correct shape to make each 
graph and then create both graph types using the vcd and ggalluvial 
packages. We will use engaging datasets and aim to equip you
with the skills to make these graphs (and the choice whether to use 
them) on your own.",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=1#paperID303
1c362cac708b57bc91214a160fb9f0aa,Track 4,Structure your app: introduction to Shiny modules,English,"Hagenberg, Jonas",120,25,Intermediate,2021-07-07T07:00:00Z,2021-07-07T09:00:00Z,"You communicate your results interactively 
with Shiny, maintain a dashboard or provide business logic, but the 
codebase of your app becomes too complex? Then modules are the right 
tool for you, they are the Shiny built-in solution to manage this 
complexity. Shiny modules allow you to break down your code into smaller
 building blocks that can be combined and reused.
In this tutorial I give an introduction into 
modules, its advantages over simple R functions and how existing 
functionality can be transferred to modules.
For an easy start, I cover common pitfalls needed to overcome for a productive use of modules:
- Passing reactive objects to modules
- Returning reactive values from the module to the calling environment
- Nesting modules
- Dynamically generating modules (including UI)
The contents of the tutorial are delivered by 
short lectures followed by hands-on coding sessions in break-out rooms. 
For this, you need a basic knowledge of reactive programming/Shiny.",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=4#paperID306
X2,Track 1,Contributing to R,English,Gabriel Becker; Martin Maechler,180,30,Intermediate,2021-07-07T16:30:00Z,2021-07-07T19:30:00Z,"Did you always want to contribute to (base) R but don't know how? Come to our Tutorial!
We will show cases where and how users have 
contributed actively to (base) R, by submitting bug reports with minimal
 reproducible examples, how testing, reading source code, and providing 
patches to the R source code has helped making R better.
Depending on the participants willingness and 
level of sophistication, we will look into doing things right now, for 
currently non-resolved issues and bug reports.",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=1#paperID304
8eb3232715abf81fb9cd6f36d73e1c57,Track 3,"How to build a package with ""Rmd First"" method",English,"Rochette, Sébastien;
Riederer, Emily",180,30,Intermediate,2021-07-07T14:30:00Z,2021-07-07T17:30:00Z,"""Rmd First"" method can reduce mental load when building packages by 
keeping users in a natural environment, using a tool they know: a 
RMarkdown document. The step between writing your own R code to analyze 
some data and refactoring it into a well-documented, ready-to-share R 
package seems unreachable to many R users. The package structure is 
sometimes perceived as useful only for building general-purpose tools 
for data analysis to be shared on official platforms. However, packages 
can be used for a broader range of purposes, from internal use to 
open-source sharing. Because packages are designed for robustness and 
enforce helpful standards for documentation and testing, the package 
structure provides a useful framework for refactoring analyses and 
preparing them to go into production. The following approach to write a 
development or an analysis inside a Rmd, will significantly reduce the 
work to transform a Rmd into a package : - _Design_ : define the goal of
 your next steps and the tools needed to reach them - _Prototype_ : use 
some small examples to prototype your script in Rmd - _Build_ : Build 
your script as functions and document your work to be able to use them, 
in the future, on real-life datasets - _Strengthen_ : Create tests to 
assure stability of your code and follow modifications through time - 
_Deploy_ : Transform as a well-structured package to deploy and share 
with your community During this tutorial, we will work through the steps
 of Rmd Driven Development to persuade attendees that their experience 
writing R code means that they already know how to build a package. They
 only need to be in a safe environment to find it out, which will be 
what we propose. We will take advantage of all existing tools such as 
{devtools}, {testthat}, {attachment} and {usethis} that ease package 
development from Rmd to building a package. The recent package 
[{fusen}](https://thinkr-open.github.io/fusen), which ""inflates a 
package from a simple flat Rmd"", will be presented to further reduce the
 step between well-designed Rmd and package deployment. Attendees will 
leave this workshop having built their first package with the ""Rmd 
First"" method and with the skills and tools to build more packages on 
their own.",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=3#paperID313
a0d78d2d260ff451e629aec329d50fbe,Track 3,Bayesian modeling in R with {rstanarm} - Spanish,Spanish,"Zepeda Herrera, Fernando Antonio",165,30,Intermediate,2021-07-07T17:45:00Z,2021-07-07T20:30:00Z,"This tutorial would introduce Bayesian modeling in R particularly 
through {rstanarm}. We would alternate between ""lectures"" and 
""practical"" examples (with {learnr} tutorials). Starting with a brief 
introduction of the Bayesian paradigm, we would cover linear and 
generalized linear regression as well as useful diagnostics and 
posterior visualization.",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=3#paperID314
51e3851b8a8faaf87e03460993eded0f,Track 2,Systematic data validation with the validate package,English,"van der Loo, Mark;
de Jonge, Edwin",240,30,Intermediate,2021-07-07T10:15:00Z,2021-07-07T14:15:00Z,"Checking the quality of data is a task that pervades data analyses. It 
does not matter whether you are working with raw data, cleaned data, or 
with the results of an analyses. It is always important to convince 
yourself that the data you are using is fit for its intended purpose. 
Since it is such a common task, why not automate it? The 'validate' 
package is designed for exactly this task: it implements a domain 
specific language for data checking that aims to encompass any check you
 might wish to perform. In this course you will will learn to define and
 measure data quality in a precise way with the validate package. We 
will focus on the main workflow, and show you how you can involve domain
 experts directly with your work, even if they do not know R. You will 
learn the main principles of data validation, both from the point of 
view of organizing a data processing work flow, as well as from a more 
formal perspective. You will exercise data validation tasks that range 
from checking input format and types to complex checks that involve data
 from multiple sources. You will learn how to follow the evolution of 
data quality as it is processed using the lumberjack package. And you 
will learn how to flush out redundant or contradictory quality demands 
using the validatetools package. The course will consist of hands-on 
work, based on a prepared tutorial that will be published on GitHub. 
There will be break-out sessions with assignments where you can discuss 
the materials with other course participants. The presentations will 
include some Kahoot quizzes to keep things interactive, fun, and 
focused.",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=2#paperID317
82c592fb201bad6034bfab58b5d4a655,Track 2,Production-grade Shiny Apps with {golem} - French,French,"Guyader, Vincent;
Girard, Cervan",210,30,Intermediate,2021-07-07T14:30:00Z,2021-07-07T18:00:00Z,"This tutorial is aimed at intermediate or advanced shiny application 
developers who want to design ""clean"" applications following best 
practices. We will present the different steps necessary to obtain an 
application deployed in production. An active participation of the 
participants is expected, with screen sharing, microphone (and if 
possible webcam).",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=2#paperID318
X1,Track 2,Translating R to Your Language,English,"Michael Chirico, Michael Lawrence",180,30,Intermediate,2021-06-07T23:15:00Z,2021-06-08T02:15:00Z,"R users are a global bunch. Providing error messages in languages besides
English can greatly improve the user experience (and debugging experience) of
those using R who may not be English natives.
This tutorial aims to get package developers 
and other R community members started implementing foreign-language 
translations of R's messages (errors, warnings, verbose output, etc.) 
into a language of their choosing.
The standard tools for providing translations can be somewhat esoteric; in this
tutorial, we'll go over some of the challenges presented by translations, the
process for providing and/or updating translations to R itself, and finally
introduce a package (`potools`) that will remove some of the frictions
potential translators may face.
We especially encourage attendance from speakers of major world languages
currently missing from the R translation data base, in particular Hindi, Arabic,
Bengali, Urdu, and Bahasa Indonesia.",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=2#paperID321
4d20a8fa8e9fcff5d226c8ebb6f7c29e,Track 1,Quick high quality maps with R,English,"Kolb, Jan-Philipp",120,40,Beginner,2021-07-07T12:00:00Z,2021-07-07T14:00:00Z,"This tutorial covers the basic use of R for creating maps. Useful tools, as well as data sources, are both presented.  Concerning tools, the focus is on the packages osmplotr, tmap, and raster. 
In the first part of the tutorial, you will learn how to use OpenStreetMap data. Geocoding and creation of bounding boxes will be presented as well as the use of shapefiles to create thematic maps and color-coding in R. After this introduction to the basic concepts and functionalities of mapping with R, you will go through a prototypical data analysis workflow: import, wrangling, exploration, (basic) analysis, reporting. You will have the opportunity to create your own maps during the workshop. A GitHub repo on the course will be shared.",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=1#paperID302
15b5e9a477b3065990bc00a026602a0e,Track 4,Data Pipelines at scale with R and Kubernetes - Spanish,Spanish,"van Dunné, Frans",180,40,Advanced,2021-07-07T15:00:00Z,2021-07-07T18:00:00Z,"Many R users are confronted with larger and larger amounts of data that 
need to be processed. In this tutorial we will show you how to go to 
the next level by massively parallelizing your R code on a kubernetes 
cluster. We will show you how to move your entire data pipeline to 
Kubernetes where each node in the pipeline consists of a container 
running R code. These containers can run with multiple cores, and then 
farmed out to tens or hundreds of these containers running in parallel. 
Our experience has shown that this allows for massive speed gains, at 
relatively low cost when the kubernetes cluster is populated with 
ephemeral virtual machines (e.g. preemptible VM's on GCP - Spot 
instances on AWS). You need to have an interest in the more
 technical aspects of running R code, but only to a degree. We hope to 
dispel any fear that you might have that setting up a cluster is 
something that is very difficult. A 
key tool we will introduce is a tool to create data pipelines on 
kubernetes called Pachyderm (the open source version). The tutorial will be a combination of theory, break outs 
to run things hands on, regrouping to talk about experiences and then 
taking the next step. We will set up code examples in steps, so that if 
one step di not work out, after regrouping the group can take off from 
the next starting point.",https://www.conftool.org/user2021/index.php?page=browseSessions&form_session=4#paperID309
